,Unnamed: 0,student_id,email,name,surname,gender,age,programme,year,category_id,Marketing,Finance and Investment,Management Skills,Business Management,Tech,Entrepreneurship,Artificial Intelligence,Crypto,Sport,Economy,Networking,Sustainability,Design,Music,HR,Employment
0,0,1,zairaverdugo@edem.es,Zaira,Verdugo,female,19,BBA in Business Administration,4,"[1, 12, 5, 4]",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,1,2,purificaciónllanos@edem.es,Purificación,Llanos,female,18,BSc in Engineering and Management,1,"[5, 12, 2, 11, 15, 9, 14, 7]",0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0
2,2,3,soledadpalomares@edem.es,Soledad,Palomares,female,18,BBA in Business Administration,1,"[1, 2]",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,jesúsalberola@edem.es,Jesús,Alberola,male,18,BSc in Engineering and Management,4,"[8, 9, 10, 1, 15, 4, 12]",1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
4,4,5,vidalbaena@edem.es,Vidal,Baena,male,27,Master Marketing and Digital Sales,1,"[8, 16, 10, 5, 1, 3, 7, 6, 13, 2, 14, 11, 12, 4]",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
5,5,6,heraclioayllón@edem.es,Heraclio,Ayllón,male,19,BBA in Business Administration,4,"[4, 6, 14, 15, 10, 5, 1, 8, 2, 16, 12, 11, 3]",1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
6,6,7,rodolfocontreras@edem.es,Rodolfo,Contreras,male,27,MBA Junior,1,"[7, 12, 2, 1, 11, 4, 5, 14, 15, 16, 13, 8]",1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1
7,7,8,anacletofábregas@edem.es,Anacleto,Fábregas,male,19,BSc in Engineering and Management,1,"[15, 11, 14, 6, 3, 13, 16, 4, 5]",0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1
8,8,9,bonifaciocrespi@edem.es,Bonifacio,Crespi,male,20,BBA in Business Administration,2,"[6, 9, 12]",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
9,9,10,joséluisamador@edem.es,José Luis,Amador,male,18,BSc in Engineering and Management,1,"[6, 8, 7, 5, 11, 9, 4, 16]",0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1
10,10,11,severoandrade@edem.es,Severo,Andrade,male,18,BSc in Engineering and Management,4,"[8, 14]",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,11,12,perlarey@edem.es,Perla,Rey,female,18,BBA in Business Administration,2,"[11, 7]",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12,12,13,sevepérez@edem.es,Seve,Pérez,male,18,BSc in Engineering and Management,1,"[3, 4, 10, 12, 6, 15, 8, 7, 14]",0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0
13,13,14,nachocarrasco@edem.es,Nacho,Carrasco,male,19,BSc in Engineering and Management,4,"[9, 3, 4, 12, 16]",0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
14,14,15,conchaluna@edem.es,Concha,Luna,female,18,BBA in Business Administration,4,"[14, 15, 10, 7, 6, 4, 3, 9, 8]",0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0
15,15,16,sebastiánbonilla@edem.es,Sebastián,Bonilla,male,18,BBA in Business Administration,3,"[2, 14, 16]",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16,16,17,guadalupelarrea@edem.es,Guadalupe,Larrea,female,19,BSc in Engineering and Management,4,"[6, 13, 11, 7, 10]",0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0
17,17,18,abrahamlucas@edem.es,Abraham,Lucas,male,19,BBA in Business Administration,3,"[13, 7, 10]",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
18,18,19,déboracanet@edem.es,Débora,Canet,female,23,Master Marketing and Digital Sales,1,"[9, 16, 14, 1, 11, 2, 15, 5, 6, 13, 3, 4, 12, 10, 7]",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
19,19,20,carlitobarón@edem.es,Carlito,Barón,male,18,BSc in Engineering and Management,1,"[6, 9, 2, 11, 5, 13, 15, 4, 3]",0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0
20,20,21,alejosainz@edem.es,Alejo,Sainz,male,23,Master Marketing and Digital Sales,1,"[6, 9, 13, 15, 1, 10, 16, 8, 12, 14, 3, 11]",1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
21,21,22,segismundosalcedo@edem.es,Segismundo,Salcedo,male,19,BBA in Business Administration,4,"[2, 4, 10, 16, 13, 8, 12, 9]",0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1
22,22,23,domingougarte@edem.es,Domingo,Ugarte,male,20,BBA in Business Administration,1,"[5, 11, 8, 9, 3]",0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
23,23,24,jesúsfalcó@edem.es,Jesús,Falcó,male,18,BSc in Engineering and Management,3,"[14, 4, 9, 13, 12, 15, 5, 7, 6]",0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0
24,24,25,alecasal@edem.es,Ale,Casal,male,22,Bootcamp Data Science,1,"[15, 2, 4, 14, 16, 6, 1, 9, 13, 5, 12, 10, 7, 3, 8]",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
25,25,26,duilioesteve@edem.es,Duilio,Esteve,male,20,BBA in Business Administration,1,"[3, 15, 1, 6, 2, 9, 4, 5]",1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
26,26,27,ileanagoñi@edem.es,Ileana,Goñi,female,19,BSc in Engineering and Management,2,"[7, 9, 3, 12, 10, 13, 8, 4, 11, 16, 15, 2, 1, 6, 5, 14]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,27,28,galocarrión@edem.es,Galo,Carrión,male,18,BSc in Engineering and Management,2,"[14, 8, 16, 12, 1, 11, 2, 13, 7, 6, 3, 9, 10, 5]",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
28,28,29,miguelángelsainz@edem.es,Miguel Ángel,Sainz,male,24,Master Data Analytics,1,"[15, 3, 7, 16, 5, 8, 4]",0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1
29,29,30,herbertobarrera@edem.es,Herberto,Barrera,male,18,BBA in Business Administration,3,"[15, 13, 14]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
30,30,31,bernarditapriego@edem.es,Bernardita,Priego,female,26,Master Marketing and Digital Sales,1,"[2, 11, 9, 1]",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
31,31,32,saturninojuárez@edem.es,Saturnino,Juárez,male,21,BBA in Business Administration,4,"[8, 3, 7]",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
32,32,33,lunacortes@edem.es,Luna,Cortes,female,18,BBA in Business Administration,3,"[16, 4, 14, 7, 1, 3, 13, 12, 10, 11, 15, 8, 6, 5, 2, 9]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,33,34,beatrizcodina@edem.es,Beatriz,Codina,female,25,Bootcamp Full Stack,1,"[10, 4, 1, 16, 12, 9, 14]",1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1
34,34,35,norbertobilbao@edem.es,Norberto,Bilbao,male,18,BBA in Business Administration,1,"[2, 1, 10, 8, 9, 12, 3, 15, 16, 7, 13]",1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1
