,user_id,name,gender,age,year,email,programme,categories
0,1,Maura Robledo-Cerdán,female,19,4,maurarobledo-cerdán@edem.es,BBA in Business Administration,['Finance and Investment']
1,2,Consuelo Azorin,female,18,1,consueloazorin@edem.es,BSc in Engineering and Management,"['Management Skills', 'Finance and Investment', 'Finance and Investment']"
2,3,Eva María Segura Roma,female,18,1,evamaríaseguraroma@edem.es,BBA in Business Administration,"['Finance and Investment', 'Technology', 'Finance and Investment', 'Management Skills', 'Technology']"
3,4,Lucio de Ros,male,18,4,lucioderos@edem.es,BSc in Engineering and Management,['Technology']
4,5,Marcio Hurtado Fábregas,male,27,1,marciohurtadofábregas@edem.es,Master Marketing and Digital Sales,"['Technology', 'Technology', 'Management Skills', 'Marketing', 'Business Management']"
5,6,Luciano Múgica-Perea,male,19,4,lucianomúgica-perea@edem.es,BBA in Business Administration,"['Business Management', 'Management Skills']"
6,7,Guillermo Valentín Aller,male,27,1,guillermovalentínaller@edem.es,MBA Junior,"['Management Skills', 'Business Management']"
7,8,Teófilo Vizcaíno,male,19,1,teófilovizcaíno@edem.es,BSc in Engineering and Management,['Finance and Investment']
8,9,Dan Esteban-Morales,male,20,2,danesteban-morales@edem.es,BBA in Business Administration,['Management Skills']
9,10,Victor del Boada,male,18,1,victordelboada@edem.es,BSc in Engineering and Management,"['Business Management', 'Marketing', 'Business Management']"
10,11,Paco Gual,male,18,4,pacogual@edem.es,BSc in Engineering and Management,"['Finance and Investment', 'Marketing', 'Finance and Investment', 'Management Skills', 'Business Management']"
11,12,Josefa Morales,female,18,2,josefamorales@edem.es,BBA in Business Administration,"['Technology', 'Business Management', 'Finance and Investment']"
12,13,Glauco Millán,male,18,1,glaucomillán@edem.es,BSc in Engineering and Management,"['Business Management', 'Marketing']"
13,14,Feliciano Navas Melero,male,19,4,felicianonavasmelero@edem.es,BSc in Engineering and Management,"['Marketing', 'Management Skills']"
14,15,Graciela Quirós Vega,female,18,4,gracielaquirósvega@edem.es,BBA in Business Administration,"['Business Management', 'Management Skills', 'Management Skills', 'Management Skills']"
15,16,Reynaldo Vilalta Moll,male,18,3,reynaldovilaltamoll@edem.es,BBA in Business Administration,"['Business Management', 'Business Management', 'Finance and Investment']"
16,17,Marisa Gargallo Adán,female,19,4,marisagargalloadán@edem.es,BSc in Engineering and Management,"['Technology', 'Management Skills']"
17,18,Bruno Perelló Mayol,male,19,3,brunoperellómayol@edem.es,BBA in Business Administration,"['Management Skills', 'Marketing', 'Business Management', 'Technology']"
18,19,Ximena Pont Álvarez,female,23,1,ximenapontálvarez@edem.es,Master Marketing and Digital Sales,"['Marketing', 'Business Management', 'Management Skills']"
19,20,Abraham Tenorio Osuna,male,18,1,abrahamtenorioosuna@edem.es,BSc in Engineering and Management,['Marketing']
20,21,Sebastián Zapata Casado,male,23,1,sebastiánzapatacasado@edem.es,Master Marketing and Digital Sales,"['Management Skills', 'Management Skills', 'Marketing', 'Marketing']"
21,22,Alcides Barrera Batlle,male,19,4,alcidesbarrerabatlle@edem.es,BBA in Business Administration,"['Management Skills', 'Technology', 'Marketing']"
22,23,Albert Batlle Fabregat,male,20,1,albertbatllefabregat@edem.es,BBA in Business Administration,"['Finance and Investment', 'Finance and Investment', 'Business Management', 'Technology']"
23,24,Andrés Felipe Alemany-Mas,male,18,3,andrésfelipealemany-mas@edem.es,BSc in Engineering and Management,"['Technology', 'Technology', 'Management Skills', 'Marketing', 'Finance and Investment']"
24,25,Juan Luis Giner Ortiz,male,22,1,juanluisginerortiz@edem.es,Bootcamp Data Science,"['Finance and Investment', 'Finance and Investment', 'Finance and Investment', 'Business Management']"
25,26,Tadeo Alejo Ballesteros Jáuregui,male,20,1,tadeoalejoballesterosjáuregui@edem.es,BBA in Business Administration,"['Technology', 'Management Skills', 'Technology', 'Technology']"
26,27,Celestina del Anglada,female,19,2,celestinadelanglada@edem.es,BSc in Engineering and Management,"['Marketing', 'Marketing', 'Finance and Investment']"
27,28,Hermenegildo Sabas Moreno Hurtado,male,18,2,hermenegildosabasmorenohurtado@edem.es,BSc in Engineering and Management,['Business Management']
28,29,Jonatan del Ropero,male,24,1,jonatandelropero@edem.es,Master Data Analytics,"['Business Management', 'Business Management', 'Management Skills', 'Management Skills', 'Finance and Investment']"
29,30,Víctor Herranz Heredia,male,18,3,víctorherranzheredia@edem.es,BBA in Business Administration,['Marketing']
30,31,María Manuela Calderon Cases,female,26,1,maríamanuelacalderoncases@edem.es,Master Marketing and Digital Sales,"['Marketing', 'Business Management', 'Technology']"
31,32,Edelmiro Iriarte Santos,male,21,4,edelmiroiriartesantos@edem.es,BBA in Business Administration,['Marketing']
32,33,Julie Ramírez Pedraza,female,18,3,julieramírezpedraza@edem.es,BBA in Business Administration,"['Marketing', 'Technology', 'Finance and Investment']"
33,34,Amada Matas Hervia,female,25,1,amadamatashervia@edem.es,Bootcamp Full Stack,"['Business Management', 'Technology', 'Business Management']"
34,35,Jose Antonio Barral Anglada,male,18,1,joseantoniobarralanglada@edem.es,BBA in Business Administration,"['Marketing', 'Technology', 'Technology', 'Finance and Investment', 'Management Skills']"
35,36,Flavio Marti Alemán,male,18,3,flaviomartialemán@edem.es,BBA in Business Administration,"['Management Skills', 'Management Skills', 'Technology']"
36,37,Anunciación Figueroa Hernández,female,27,1,anunciaciónfigueroahernández@edem.es,Master Data Analytics,['Finance and Investment']
37,38,Juliana Ayllón Bernal,female,20,3,julianaayllónbernal@edem.es,BBA in Business Administration,"['Marketing', 'Marketing', 'Technology', 'Finance and Investment']"
38,39,Bibiana Estrada-Baeza,female,24,1,bibianaestrada-baeza@edem.es,Master Finance,"['Marketing', 'Finance and Investment', 'Technology', 'Business Management']"
39,40,Rufina Gracia Bueno,female,19,3,rufinagraciabueno@edem.es,BBA in Business Administration,"['Marketing', 'Business Management']"
40,41,Ovidio Bartolomé Crespi,male,20,4,ovidiobartolomécrespi@edem.es,BBA in Business Administration,"['Business Management', 'Management Skills']"
41,42,Sabina Rocamora Noguera,female,19,1,sabinarocamoranoguera@edem.es,BSc in Engineering and Management,"['Technology', 'Technology', 'Finance and Investment']"
42,43,Isabela del Fajardo,female,19,1,isabeladelfajardo@edem.es,BBA in Business Administration,"['Finance and Investment', 'Finance and Investment']"
43,44,Abraham Chico Vilaplana,male,21,1,abrahamchicovilaplana@edem.es,BBA in Business Administration,"['Management Skills', 'Management Skills', 'Finance and Investment', 'Business Management', 'Management Skills']"
44,45,Diego Cervantes Tenorio,male,18,1,diegocervantestenorio@edem.es,BSc in Engineering and Management,['Marketing']
45,46,Darío Perea,male,19,1,daríoperea@edem.es,BBA in Business Administration,['Technology']
